type,parent,child,status
Securities Broker,javed iqbal securities,,Active
Securities Broker,Shewani Securities,,Active
Securities Broker,Stock Street Pvt Limited,,Active
Securities Broker,Highlink Capital (Pvt) Ltd,,Active
Securities Broker,FNEL,,Active
Securities Broker,SIS Securities,,Active
Securities Broker,DEL,,Active
Securities Broker,Pakistan Stock Exchange,,Active
Securities Broker,TS Securities Private limited,,Active
Securities Broker,Javed Iqbal securities (Pvt) Ltd,,Active
Securities Broker,"Perviz Ahmed Security, Jhangir Saddiqui and Co, Arif Habib Security, Satara Per Oxide.",,Active
Securities Broker,Axis global Limited,,Active
Securities Broker,Misbah Securities (Pvt) Ltd,,Active
Securities Broker,AXIS Global Stock Company,,Active
Securities Broker,Reliance Securities Ltd,,Active
Securities Broker,INTEGRATED EQUITIES (PRIVATE) LIMITED,,Active
Securities Broker,Pakistan State oil Limited,,Active
Securities Broker,din capital limited,,Active
Securities Broker,Harvest Smartrend Securities (Pvt.) Limited,,Active
Securities Broker,Fauji Fertilizer Company Limited,,Active
Securities Broker,GUL DHAMI SECURITIES PVT LTD,,Active
Securities Broker,Sherwani Securities,,Active
Securities Broker,Maniar Financials (Pvt) Limited,,Active
Securities Broker,Wamiq M.Yousuf,,Active
Securities Broker,Arif Darwaish International,,Active
Securities Broker,Sunrise Capital Pvt Ltd,,Active
Securities Broker,ABA ALI SECURITIES Pvt Limited,,Active
Securities Broker,Jamshaid & Hassan Securities (pvt) Ltd,,Active
Securities Broker,Beaming Investement And Securities Pvt Limited,,Active
Securities Broker,harvest group lhr,,Active
Securities Broker,AWJ Securities (Private) Limited,,Active
Securities Broker,BIPL Securities Limited,,Active
Securities Broker,CCM,,Active
Securities Broker,Ghory's Securities Pvt Ltd,,Active
Securities Broker,Sunrise Capital Pvt Ltd,,Active
Securities Broker,Javed Iqbal Securities (Pvt) Ltd.,,Active
Securities Broker,Hi Tech securities,,Active
Securities Broker,BIPL Securities Limited,,Active
Securities Broker,Fair Deal securities Pvt Limited,,Active
Securities Broker,M.M. SECURITIES LTD,,Active
Securities Broker,S.Z. Securities (Pvt) Ltd,,Active
Securities Broker,S. Z. Securities Pvt Limited,,Active
Securities Broker,M.S. Maniar,,Active
Securities Broker,High Link Capital Pvt Ltd,,Active
Securities Broker,Live Trade Online,,Active
Securities Broker,Sun Rise Capital Pvt Ltd,,Active
Securities Broker,SIS Securities Pvt Ltd,,Active
Securities Broker,Highlink securities Pvt Ltd,,Active
