Type,(Name of:  Leasing Company/Investment Finance Co./Housing Finanace Co./)Non Bank Microfinance Co./Modaraba Mgt. Co./Pvt. Equity and Venture Capital Co./ REIT Mgt. Co./AMC),REIT Scheme,Modaraba Fund,Mutual Fund,Pension Fund,Status
Investment Finance Company,ICP,,,,,
Investment Finance Company,IDBL,,,,,
Investment Finance Company,Prudential Investment Bank,,,,,
Leasing Company,Pakistan Industrial & Commercial Leasing and English Leasing Limited,,,,,
Leasing Company,Natover Lease & Refinance Limited,,,,,
Leasing Company, IBL health Care,,,,,
Leasing Company,"Dadabhoy Leasing Ltd, National Assets Leasing Ltd",,,,,
Non-bank micro finance company,We Financial Services Limited,,,,,
Non-bank micro finance company," Dawood Capital Management Limited,Innovative Investment Bank Limited,Pak Industrial & Credit Leasing Limited",,,,,
Non-bank micro finance company, Innovative Housing finance Ltd,,,,,
REIT Management Company,UBL Retirement Saving Fund,,,,,
Modaraba Management Company,ABAMCO Capital Fund,,,,,
Modaraba Management Company,Allied Rental Modaraba,,,,,
Modaraba Management Company,B.F Modaraba,,,,,
Modaraba Management Company, First Fidelity Leasing Modaraba,,,,,
Modaraba Management Company,first Habib Bank Modaraba,,,,,
Modaraba Management Company,First IBL Modaraba,,,,,
Modaraba Management Company,FIRST INTERFUND MUDARBAH  ,,,,,
Modaraba Management Company,First Prudential Modaraba,,,,,
Modaraba Management Company,First Tristar Modaraba,,,,,
Modaraba Management Company,First UDL Modaraba,,,,,
Modaraba Management Company,FNEL,,,,,
Modaraba Management Company,International Steels Limited and First Equity Modarba,,,,,
Modaraba Management Company,Long term capital Venture Modaraba,,,,,
Modaraba Management Company,LTV Capital Modarab,,,,,
Modaraba Management Company,"Moosa,Noor Muhammad, Shazada & Company pvt ltd",,,,,
Modaraba Management Company,NBFI & Modaraba Association of Pakistan,,,,,
Modaraba Management Company,PRUDENTIAL CAPITAL MANAGEMENT LIMITED,,,,,
Modaraba Management Company,Standard Chartered Modarba Limited,,,,,
Modaraba Management Company,Technology Trade (Pvt) Ltd,,,,,
Modaraba Management Company,Trust Modaraba,,,,,
Modaraba Management Company,UNICAP Modarba,,,,,
Asset Management Company,NAFA Islamic Asset Allocation Fund,,,,,
Asset Management Company,Askari investment Mangement Limited,,,,,
Asset Management Company,NAFA FUNDS,,,,,
Asset Management Company,Golden Arrow Selected Stocks Fund Limited,,,,,
Asset Management Company,UBL stock advantage fund,,,,,
Asset Management Company,JS Investment Limited,,,,,
Asset Management Company,Dawood Mutual Fund,,,,,
Asset Management Company,PICIC,,,,,
Asset Management Company,ICP,,,,,
Asset Management Company,IDBL,,,,,
Asset Management Company,Invest capital investment Bank Limited,,,,,
Asset Management Company,Picic Assest Management Co,,,,,
Asset Management Company,JS investment LTD,,,,,
Asset Management Company,Live Securities Limited,,,,,
Asset Management Company,First Prudential Modaraba,,,,,
Asset Management Company,Crescent Star Insurance Company Limited,,,,,
Asset Management Company,Orix Leasing Pak Ltd,,,,,
Asset Management Company,Security Leasing Corporation Limited,,,,,
Asset Management Company,Escorts Capital Limited,,,,,
Asset Management Company,Pakistan Industrial & Commercial Leasing and English Leasing Limited,,,,,
Asset Management Company,UBL Retirement Saving Fund,,,,,
Asset Management Company,Dolmen City REIT,,,,,
Asset Management Company,Query,,,,,
Asset Management Company,First Pak Modaraba  ,,,,,
Asset Management Company,Pakistan First National Bank  Modaraba,,,,,
Asset Management Company,IGI Investment Bank Limited,,,,,
Asset Management Company,BRR Guardian Modarba,,,,,
Asset Management Company,Standard Chartered Modarba Limited,,,,,
Asset Management Company,UBL FUND,,,,,
Asset Management Company,BRR Guardian Modarba    ,,,,,
Asset Management Company,First Tristar Modaraba,,,,,
Asset Management Company,Pakistan Strategic Allocation Fund,,,,,
Asset Management Company,Pakistan International Element Fund,,,,,
Asset Management Company,AKD oppertunitiest Fund,,,,,
Asset Management Company,We Financial Services Limited,,,,,
Asset Management Company,International Steels Limited and First Equity Modarba,,,,,
Asset Management Company,Al Ameen Funds,,,,,
Asset Management Company,Unity Modaraba,,,,,
Asset Management Company,MCB-Arif habib savings and investments limited,,,,,
Asset Management Company,Natover Lease & Refinance Limited,,,,,
Asset Management Company,Golden Arrow,,,,,
Asset Management Company,KASB Invest Pvt,,,,,
Asset Management Company,KASB Funds,,,,,
Asset Management Company,IBL health Care,,,,,
Asset Management Company,Punjab Modaraba,,,,,
Asset Management Company,LTV Capital Modarab,,,,,
Asset Management Company,"Dadabhoy Leasing Ltd, National Assets Leasing Ltd",,,,,
Asset Management Company,JS Investment Ltd,,,,,
Asset Management Company,MCB Bank Limited,,,,,
Asset Management Company,UBL,,,,,
Asset Management Company,first Habib Bank Modaraba,,,,,
Asset Management Company,Al-Amin Funds,,,,,
Asset Management Company,Al-Meezan,,,,,
Asset Management Company,MUTUAL FUND,,,,,
Asset Management Company,SME leasing,,,,,
Asset Management Company,Trust Modarba,,,,,
Asset Management Company,First Dawood Mutual Fund,,,,,
Asset Management Company,ABAMCO Composite Fund,,,,,
Asset Management Company,ABAMCO Capital Fund,,,,,
Asset Management Company,Security Leasing Corporation Limited,,,,,
Asset Management Company,ABL asset management company,,,,,
Asset Management Company,"IGI Investment Bank,Trust Investment Bank and Golden Arrow Selected Stocks Fund Limited",,,,,
Asset Management Company,FNEL,,,,,
Asset Management Company,MCB,,,,,
Asset Management Company,Arif habib savings and investments limited,,,,,
Asset Management Company,Faysal Asset Allocation Fund,,,,,
Asset Management Company,First Fidelity Leasing Modaraba,,,,,
Asset Management Company,ABAMCO Stock Market Fund,,,,,
Asset Management Company,Long term capital Venture Modaraba,,,,,
Asset Management Company,PICIC investment Fund,,,,,
Asset Management Company,Picic Growth Fund,,,,,
Asset Management Company,Al-Meezan Investment Limited,,,,,
Asset Management Company,Technology Trade (Pvt) Ltd,,,,,
Asset Management Company,Al Meezan Investment Management Ltd,,,,,
